April 1, 1595
April 2, 4395
April 3, 5099
April 4, 2458
April 5, 2017
April 6, 7466
April 7, 1329
April 8, 5814
April 9, 3033
April 10, 1597
April 11, 7536
April 12, 3749
April 13, 2617
April 14, 3847
April 15, 6582
April 16, 1029
April 17, 1433
April 18, 1007
April 19, 3365
April 20, 1193
April 21, 1131
April 22, 1888
April 23, 1508
April 24, 2752
April 25, 4371
April 26, 4190
April 27, 1031
April 28, 8149
April 29, 8473
April 30, 2983
May 1, 2600
May 2, 5521
May 3, 458
May 4, 2259
May 5, 4199
May 6, 530
May 7, 4541
May 8, 716
May 9, 129
May 10, 4390
May 11, 7112
May 12, 1411
May 13, 459
May 14, 193
May 15, 1584
May 16, 2903
May 17, 111
May 18, 688
May 19, 1863
May 20, 378
May 21, 1265
May 22, 5998
May 23, 2540
May 24, 5583
May 25, 601
May 26, 1894
May 27, 5572
May 28, 3778
May 29, 5522
May 30, 445
May 31, 1910
June 1, 549
June 2, 2108
June 3, 446
June 4, 399
June 5, 128
June 6, 720
June 7, 147
June 8, 1880
June 9, 1793
June 10, 657
June 11, 432
June 12, 1056
June 13, 2216
June 14, 979
June 15, 338
June 16, 379
June 17, 1003
June 18, 2273
June 19, 1579
June 20, 2236
June 21, 1508
June 22, 1620
June 23, 224
June 24, 419
June 25, 219
June 26, 177
June 27, 591
June 28, 2060
June 29, 177
June 30, 2221
