April 1, 1690
April 2, 1201
April 3, 2613
April 4, 3652
April 5, 2018
April 6, 1765
April 7, 1367
April 8, 1438
April 9, 9209
April 10, 4602
April 11, 2254
April 12, 1331
April 13, 2299
April 14, 1422
April 15, 1365
April 16, 3160
April 17, 1749
April 18, 5881
April 19, 1955
April 20, 1384
April 21, 2734
April 22, 1086
April 23, 1613
April 24, 5845
April 25, 7808
April 26, 2701
April 27, 2121
April 28, 3051
April 29, 3845
April 30, 2220
May 1, 1714
May 2, 1719
May 3, 4274
May 4, 3698
May 5, 249
May 6, 611
May 7, 4589
May 8, 1342
May 9, 4055
May 10, 351
May 11, 762
May 12, 1449
May 13, 1113
May 14, 3310
May 15, 1692
May 16, 1995
May 17, 131
May 18, 6618
May 19, 3670
May 20, 4618
May 21, 560
May 22, 806
May 23, 3027
May 24, 658
May 25, 4897
May 26, 2291
May 27, 549
May 28, 1689
May 29, 998
May 30, 326
May 31, 3192
June 1, 941
June 2, 777
June 3, 525
June 4, 1117
June 5, 55
June 6, 186
June 7, 1658
June 8, 65
June 9, 376
June 10, 1416
June 11, 1554
June 12, 349
June 13, 2033
June 14, 2707
June 15, 1050
June 16, 177
June 17, 112
June 18, 2
June 19, 384
June 20, 912
June 21, 2693
June 22, 266
June 23, 137
June 24, 46
June 25, 1129
June 26, 2538
June 27, 759
June 28, 152
June 29, 1233
June 30, 191
