April 1, 1740
April 2, 2411
April 3, 2186
April 4, 4829
April 5, 1158
April 6, 3750
April 7, 7407
April 8, 2436
April 9, 1227
April 10, 3493
April 11, 1727
April 12, 1822
April 13, 3018
April 14, 2443
April 15, 1634
April 16, 2031
April 17, 1475
April 18, 2710
April 19, 3423
April 20, 1928
April 21, 3325
April 22, 5400
April 23, 1942
April 24, 8133
April 25, 1042
April 26, 7416
April 27, 3723
April 28, 2919
April 29, 4889
April 30, 6479
May 1, 1603
May 2, 4593
May 3, 229
May 4, 1528
May 5, 7510
May 6, 2115
May 7, 561
May 8, 4263
May 9, 133
May 10, 1458
May 11, 3324
May 12, 4954
May 13, 5073
May 14, 1559
May 15, 5211
May 16, 201
May 17, 2287
May 18, 4440
May 19, 2829
May 20, 206
May 21, 1500
May 22, 5158
May 23, 2909
May 24, 1635
May 25, 1125
May 26, 1528
May 27, 5011
May 28, 1714
May 29, 176
May 30, 4208
May 31, 5694
June 1, 2922
June 2, 2159
June 3, 451
June 4, 22
June 5, 95
June 6, 1397
June 7, 80
June 8, 1215
June 9, 1554
June 10, 34
June 11, 385
June 12, 109
June 13, 643
June 14, 796
June 15, 1216
June 16, 586
June 17, 377
June 18, 111
June 19, 393
June 20, 1062
June 21, 528
June 22, 17
June 23, 188
June 24, 180
June 25, 2456
June 26, 976
June 27, 737
June 28, 1318
June 29, 923
June 30, 1147
