April 1, 3097
April 2, 2983
April 3, 2015
April 4, 3026
April 5, 2605
April 6, 1786
April 7, 5317
April 8, 1543
April 9, 3225
April 10, 2551
April 11, 5652
April 12, 8575
April 13, 1073
April 14, 3167
April 15, 1493
April 16, 3741
April 17, 3111
April 18, 3576
April 19, 1925
April 20, 1779
April 21, 1263
April 22, 3601
April 23, 2962
April 24, 2584
April 25, 3803
April 26, 1675
April 27, 1481
April 28, 6788
April 29, 1246
April 30, 1517
May 1, 4505
May 2, 563
May 3, 123
May 4, 857
May 5, 660
May 6, 6333
May 7, 1123
May 8, 3013
May 9, 5116
May 10, 451
May 11, 5512
May 12, 4327
May 13, 1680
May 14, 1673
May 15, 853
May 16, 5107
May 17, 141
May 18, 4927
May 19, 1478
May 20, 482
May 21, 1589
May 22, 3225
May 23, 381
May 24, 1974
May 25, 2742
May 26, 352
May 27, 551
May 28, 107
May 29, 4234
May 30, 888
May 31, 3068
June 1, 1850
June 2, 2627
June 3, 2644
June 4, 2293
June 5, 283
June 6, 528
June 7, 1952
June 8, 2477
June 9, 2764
June 10, 717
June 11, 795
June 12, 631
June 13, 141
June 14, 2093
June 15, 277
June 16, 501
June 17, 1071
June 18, 549
June 19, 243
June 20, 825
June 21, 1
June 22, 24
June 23, 185
June 24, 989
June 25, 83
June 26, 226
June 27, 1692
June 28, 3278
June 29, 910
June 30, 376
