April 1, 2303
April 2, 1406
April 3, 1678
April 4, 2535
April 5, 1730
April 6, 6089
April 7, 1210
April 8, 2482
April 9, 1178
April 10, 1004
April 11, 1857
April 12, 1277
April 13, 1207
April 14, 3425
April 15, 4412
April 16, 4451
April 17, 2127
April 18, 4887
April 19, 5152
April 20, 2246
April 21, 9784
April 22, 1539
April 23, 2880
April 24, 1822
April 25, 6252
April 26, 1547
April 27, 1323
April 28, 2766
April 29, 1432
April 30, 1549
May 1, 557
May 2, 1489
May 3, 1486
May 4, 2238
May 5, 1033
May 6, 550
May 7, 4220
May 8, 2214
May 9, 5254
May 10, 2744
May 11, 3107
May 12, 2197
May 13, 5965
May 14, 2263
May 15, 4301
May 16, 4764
May 17, 1017
May 18, 4873
May 19, 2045
May 20, 5470
May 21, 7355
May 22, 1910
May 23, 4455
May 24, 3479
May 25, 2766
May 26, 7216
May 27, 2099
May 28, 298
May 29, 2164
May 30, 688
May 31, 1592
June 1, 340
June 2, 1378
June 3, 2069
June 4, 35
June 5, 122
June 6, 2107
June 7, 256
June 8, 2032
June 9, 486
June 10, 2457
June 11, 166
June 12, 129
June 13, 1951
June 14, 67
June 15, 210
June 16, 948
June 17, 1961
June 18, 153
June 19, 124
June 20, 508
June 21, 370
June 22, 375
June 23, 1119
June 24, 401
June 25, 361
June 26, 156
June 27, 490
June 28, 1266
June 29, 257
June 30, 1101
