April 1, 5086
April 2, 3354
April 3, 1052
April 4, 2414
April 5, 3126
April 6, 2705
April 7, 1859
April 8, 2441
April 9, 3523
April 10, 2429
April 11, 2320
April 12, 1059
April 13, 1351
April 14, 5361
April 15, 3226
April 16, 1181
April 17, 4021
April 18, 1646
April 19, 2936
April 20, 5792
April 21, 1109
April 22, 6793
April 23, 7201
April 24, 1316
April 25, 4220
April 26, 4107
April 27, 2517
April 28, 1094
April 29, 1003
April 30, 1722
May 1, 4488
May 2, 1063
May 3, 4839
May 4, 2229
May 5, 3196
May 6, 720
May 7, 4343
May 8, 367
May 9, 1141
May 10, 2077
May 11, 435
May 12, 1335
May 13, 3354
May 14, 1090
May 15, 326
May 16, 4058
May 17, 2577
May 18, 2194
May 19, 1949
May 20, 1994
May 21, 5246
May 22, 543
May 23, 1085
May 24, 1262
May 25, 211
May 26, 3435
May 27, 4046
May 28, 1562
May 29, 1116
May 30, 370
May 31, 1049
June 1, 183
June 2, 482
June 3, 30
June 4, 790
June 5, 85
June 6, 301
June 7, 923
June 8, 92
June 9, 1414
June 10, 1265
June 11, 2441
June 12, 2312
June 13, 3193
June 14, 179
June 15, 911
June 16, 105
June 17, 2580
June 18, 301
June 19, 313
June 20, 2120
June 21, 3713
June 22, 793
June 23, 278
June 24, 134
June 25, 1768
June 26, 2401
June 27, 1245
June 28, 910
June 29, 1290
June 30, 1109
