April 1, 2967
April 2, 2308
April 3, 1751
April 4, 4597
April 5, 1085
April 6, 1969
April 7, 2170
April 8, 4375
April 9, 4666
April 10, 1232
April 11, 7180
April 12, 2394
April 13, 5863
April 14, 2346
April 15, 3595
April 16, 7212
April 17, 1650
April 18, 1362
April 19, 5087
April 20, 1591
April 21, 5855
April 22, 1508
April 23, 2653
April 24, 6694
April 25, 2166
April 26, 5774
April 27, 2339
April 28, 1524
April 29, 1011
April 30, 5241
May 1, 1438
May 2, 3447
May 3, 3503
May 4, 5545
May 5, 6723
May 6, 2575
May 7, 5200
May 8, 2520
May 9, 242
May 10, 1852
May 11, 379
May 12, 432
May 13, 658
May 14, 842
May 15, 1015
May 16, 831
May 17, 7719
May 18, 428
May 19, 4068
May 20, 3879
May 21, 6734
May 22, 3862
May 23, 432
May 24, 586
May 25, 134
May 26, 5312
May 27, 618
May 28, 2957
May 29, 272
May 30, 409
May 31, 2904
June 1, 514
June 2, 82
June 3, 113
June 4, 1001
June 5, 1175
June 6, 2076
June 7, 3466
June 8, 996
June 9, 484
June 10, 1005
June 11, 113
June 12, 588
June 13, 670
June 14, 894
June 15, 1875
June 16, 172
June 17, 35
June 18, 1989
June 19, 1365
June 20, 687
June 21, 155
June 22, 275
June 23, 684
June 24, 768
June 25, 2383
June 26, 895
June 27, 501
June 28, 820
June 29, 2213
June 30, 60
