April 1, 1657
April 2, 1910
April 3, 1272
April 4, 1020
April 5, 1273
April 6, 3999
April 7, 2810
April 8, 4426
April 9, 1132
April 10, 1806
April 11, 4139
April 12, 3489
April 13, 2491
April 14, 3695
April 15, 2315
April 16, 6301
April 17, 2274
April 18, 4059
April 19, 1122
April 20, 1781
April 21, 1324
April 22, 2830
April 23, 1391
April 24, 4026
April 25, 1632
April 26, 1619
April 27, 2150
April 28, 7292
April 29, 4306
April 30, 3436
May 1, 980
May 2, 826
May 3, 894
May 4, 506
May 5, 2419
May 6, 866
May 7, 315
May 8, 2737
May 9, 331
May 10, 2521
May 11, 5999
May 12, 932
May 13, 3057
May 14, 2147
May 15, 426
May 16, 7085
May 17, 1693
May 18, 3500
May 19, 921
May 20, 4272
May 21, 657
May 22, 5313
May 23, 1994
May 24, 3509
May 25, 1461
May 26, 2198
May 27, 3556
May 28, 3917
May 29, 1369
May 30, 2883
May 31, 4043
June 1, 132
June 2, 183
June 3, 2085
June 4, 1479
June 5, 699
June 6, 432
June 7, 1561
June 8, 377
June 9, 1856
June 10, 23
June 11, 2075
June 12, 282
June 13, 2965
June 14, 419
June 15, 1831
June 16, 552
June 17, 631
June 18, 716
June 19, 634
June 20, 1468
June 21, 1384
June 22, 340
June 23, 2562
June 24, 547
June 25, 3845
June 26, 300
June 27, 76
June 28, 776
June 29, 331
June 30, 864
