April 1, 3498
April 2, 1573
April 3, 3783
April 4, 1858
April 5, 1579
April 6, 1123
April 7, 6022
April 8, 5963
April 9, 3372
April 10, 3739
April 11, 1140
April 12, 1783
April 13, 7370
April 14, 3086
April 15, 2459
April 16, 4111
April 17, 1144
April 18, 1303
April 19, 4333
April 20, 3840
April 21, 1417
April 22, 2752
April 23, 2729
April 24, 2135
April 25, 3422
April 26, 1001
April 27, 1848
April 28, 4416
April 29, 6800
April 30, 3131
May 1, 1424
May 2, 1249
May 3, 3408
May 4, 2922
May 5, 2323
May 6, 5152
May 7, 1041
May 8, 3310
May 9, 147
May 10, 1617
May 11, 3382
May 12, 313
May 13, 8175
May 14, 2986
May 15, 6830
May 16, 3554
May 17, 497
May 18, 469
May 19, 496
May 20, 1202
May 21, 413
May 22, 1027
May 23, 196
May 24, 1906
May 25, 203
May 26, 5114
May 27, 1578
May 28, 3204
May 29, 1585
May 30, 879
May 31, 2681
June 1, 3055
June 2, 2667
June 3, 610
June 4, 188
June 5, 272
June 6, 18
June 7, 426
June 8, 30
June 9, 1056
June 10, 150
June 11, 835
June 12, 56
June 13, 358
June 14, 11
June 15, 2380
June 16, 83
June 17, 235
June 18, 155
June 19, 2364
June 20, 1837
June 21, 268
June 22, 856
June 23, 178
June 24, 927
June 25, 1013
June 26, 1485
June 27, 420
June 28, 2260
June 29, 283
June 30, 2396
