April 1, 1662
April 2, 5067
April 3, 1041
April 4, 2763
April 5, 1336
April 6, 2833
April 7, 2062
April 8, 1081
April 9, 1547
April 10, 1343
April 11, 1275
April 12, 3142
April 13, 4633
April 14, 3931
April 15, 7703
April 16, 3457
April 17, 1011
April 18, 4373
April 19, 7184
April 20, 8871
April 21, 1831
April 22, 4068
April 23, 1049
April 24, 3324
April 25, 3373
April 26, 1427
April 27, 1011
April 28, 3497
April 29, 7014
April 30, 7859
May 1, 229
May 2, 326
May 3, 5097
May 4, 1586
May 5, 559
May 6, 6208
May 7, 723
May 8, 260
May 9, 239
May 10, 8398
May 11, 122
May 12, 4650
May 13, 1132
May 14, 1971
May 15, 1151
May 16, 783
May 17, 1207
May 18, 3786
May 19, 2725
May 20, 2307
May 21, 2360
May 22, 4409
May 23, 2821
May 24, 1093
May 25, 2082
May 26, 6171
May 27, 3282
May 28, 376
May 29, 4509
May 30, 3934
May 31, 2263
June 1, 13
June 2, 997
June 3, 774
June 4, 84
June 5, 304
June 6, 2720
June 7, 2584
June 8, 443
June 9, 868
June 10, 199
June 11, 353
June 12, 459
June 13, 930
June 14, 1253
June 15, 227
June 16, 1266
June 17, 809
June 18, 272
June 19, 3262
June 20, 940
June 21, 826
June 22, 710
June 23, 11
June 24, 2587
June 25, 895
June 26, 148
June 27, 3039
June 28, 1146
June 29, 1161
June 30, 262
