April 1, 1135
April 2, 3551
April 3, 1123
April 4, 2669
April 5, 2659
April 6, 1051
April 7, 4371
April 8, 4010
April 9, 4146
April 10, 1036
April 11, 3826
April 12, 3539
April 13, 1373
April 14, 1723
April 15, 1461
April 16, 1360
April 17, 1862
April 18, 7632
April 19, 2613
April 20, 5047
April 21, 1790
April 22, 1181
April 23, 5587
April 24, 3186
April 25, 4985
April 26, 2261
April 27, 2020
April 28, 3207
April 29, 7377
April 30, 5518
May 1, 6247
May 2, 4561
May 3, 1887
May 4, 186
May 5, 1420
May 6, 107
May 7, 763
May 8, 1831
May 9, 6035
May 10, 691
May 11, 968
May 12, 944
May 13, 690
May 14, 2467
May 15, 2180
May 16, 1924
May 17, 687
May 18, 3576
May 19, 513
May 20, 7679
May 21, 523
May 22, 2657
May 23, 7240
May 24, 190
May 25, 3763
May 26, 3366
May 27, 185
May 28, 1271
May 29, 751
May 30, 224
May 31, 135
June 1, 2477
June 2, 621
June 3, 715
June 4, 1621
June 5, 385
June 6, 424
June 7, 868
June 8, 1975
June 9, 3169
June 10, 444
June 11, 1
June 12, 153
June 13, 2651
June 14, 9
June 15, 166
June 16, 645
June 17, 1009
June 18, 2312
June 19, 196
June 20, 2274
June 21, 278
June 22, 878
June 23, 1991
June 24, 373
June 25, 2337
June 26, 271
June 27, 1472
June 28, 457
June 29, 1865
June 30, 202
