April 1, 1820
April 2, 6246
April 3, 1606
April 4, 1328
April 5, 2453
April 6, 5152
April 7, 1336
April 8, 3786
April 9, 1798
April 10, 4368
April 11, 1652
April 12, 3296
April 13, 3768
April 14, 5704
April 15, 2291
April 16, 3124
April 17, 8107
April 18, 1377
April 19, 2304
April 20, 1525
April 21, 2769
April 22, 4412
April 23, 1225
April 24, 5328
April 25, 7378
April 26, 4029
April 27, 1288
April 28, 6442
April 29, 1003
April 30, 1733
May 1, 2054
May 2, 4020
May 3, 105
May 4, 5616
May 5, 133
May 6, 1410
May 7, 3299
May 8, 1168
May 9, 1874
May 10, 4689
May 11, 5018
May 12, 362
May 13, 180
May 14, 1887
May 15, 1151
May 16, 2171
May 17, 558
May 18, 875
May 19, 1352
May 20, 2050
May 21, 4509
May 22, 4323
May 23, 2348
May 24, 5189
May 25, 3912
May 26, 2473
May 27, 2567
May 28, 259
May 29, 338
May 30, 361
May 31, 5533
June 1, 142
June 2, 1718
June 3, 99
June 4, 723
June 5, 430
June 6, 205
June 7, 1
June 8, 1350
June 9, 2339
June 10, 640
June 11, 2324
June 12, 1606
June 13, 2198
June 14, 267
June 15, 3
June 16, 1735
June 17, 1177
June 18, 2934
June 19, 2371
June 20, 469
June 21, 2384
June 22, 561
June 23, 1154
June 24, 95
June 25, 1046
June 26, 669
June 27, 590
June 28, 739
June 29, 1847
June 30, 1997
