April 1, 3068
April 2, 1406
April 3, 4457
April 4, 3541
April 5, 2204
April 6, 5086
April 7, 4689
April 8, 1036
April 9, 3567
April 10, 1090
April 11, 2212
April 12, 7243
April 13, 6683
April 14, 1712
April 15, 1564
April 16, 1558
April 17, 6749
April 18, 1337
April 19, 1992
April 20, 1041
April 21, 3371
April 22, 1851
April 23, 1809
April 24, 3933
April 25, 3695
April 26, 7050
April 27, 1212
April 28, 1386
April 29, 6010
April 30, 1493
May 1, 1156
May 2, 2032
May 3, 2723
May 4, 744
May 5, 505
May 6, 576
May 7, 946
May 8, 656
May 9, 1283
May 10, 4350
May 11, 2070
May 12, 860
May 13, 5309
May 14, 1954
May 15, 1463
May 16, 3717
May 17, 278
May 18, 2618
May 19, 3050
May 20, 155
May 21, 514
May 22, 512
May 23, 149
May 24, 672
May 25, 1813
May 26, 8074
May 27, 331
May 28, 1113
May 29, 605
May 30, 1502
May 31, 3344
June 1, 11
June 2, 1522
June 3, 117
June 4, 146
June 5, 1171
June 6, 2001
June 7, 1189
June 8, 812
June 9, 339
June 10, 188
June 11, 751
June 12, 585
June 13, 1486
June 14, 676
June 15, 162
June 16, 229
June 17, 2003
June 18, 84
June 19, 1491
June 20, 25
June 21, 374
June 22, 1009
June 23, 1025
June 24, 1237
June 25, 167
June 26, 11
June 27, 102
June 28, 1004
June 29, 169
June 30, 132
