April 1, 3063
April 2, 1401
April 3, 5970
April 4, 1904
April 5, 1920
April 6, 4126
April 7, 2620
April 8, 7152
April 9, 8990
April 10, 2687
April 11, 5565
April 12, 1008
April 13, 4032
April 14, 1821
April 15, 1675
April 16, 4771
April 17, 4579
April 18, 1798
April 19, 1493
April 20, 4033
April 21, 8599
April 22, 3240
April 23, 4231
April 24, 1299
April 25, 1403
April 26, 1474
April 27, 3100
April 28, 3368
April 29, 1337
April 30, 3384
May 1, 4130
May 2, 5976
May 3, 3286
May 4, 242
May 5, 2348
May 6, 796
May 7, 3313
May 8, 187
May 9, 3127
May 10, 111
May 11, 1424
May 12, 1543
May 13, 219
May 14, 118
May 15, 2963
May 16, 3899
May 17, 103
May 18, 153
May 19, 1198
May 20, 280
May 21, 2331
May 22, 662
May 23, 3049
May 24, 1584
May 25, 2510
May 26, 2269
May 27, 2110
May 28, 4303
May 29, 1986
May 30, 5158
May 31, 6483
June 1, 56
June 2, 200
June 3, 812
June 4, 390
June 5, 132
June 6, 221
June 7, 392
June 8, 709
June 9, 32
June 10, 1579
June 11, 299
June 12, 442
June 13, 2
June 14, 2249
June 15, 2818
June 16, 1968
June 17, 508
June 18, 413
June 19, 1407
June 20, 1526
June 21, 70
June 22, 1866
June 23, 712
June 24, 2487
June 25, 181
June 26, 175
June 27, 2144
June 28, 1113
June 29, 1113
June 30, 2797
