April 1, 1619
April 2, 4726
April 3, 3302
April 4, 3228
April 5, 2376
April 6, 1766
April 7, 2393
April 8, 1759
April 9, 6593
April 10, 3179
April 11, 3630
April 12, 1658
April 13, 7726
April 14, 6765
April 15, 3999
April 16, 3723
April 17, 5538
April 18, 4067
April 19, 2145
April 20, 6053
April 21, 5620
April 22, 5620
April 23, 3282
April 24, 4516
April 25, 1629
April 26, 3400
April 27, 2000
April 28, 5618
April 29, 6035
April 30, 2306
May 1, 889
May 2, 1178
May 3, 1840
May 4, 2156
May 5, 2196
May 6, 1720
May 7, 2832
May 8, 1587
May 9, 2165
May 10, 206
May 11, 448
May 12, 4340
May 13, 2501
May 14, 1589
May 15, 1586
May 16, 7320
May 17, 3170
May 18, 4354
May 19, 2179
May 20, 263
May 21, 1690
May 22, 452
May 23, 4196
May 24, 269
May 25, 646
May 26, 224
May 27, 107
May 28, 316
May 29, 1639
May 30, 4981
May 31, 2593
June 1, 43
June 2, 1399
June 3, 239
June 4, 80
June 5, 9
June 6, 2143
June 7, 3179
June 8, 441
June 9, 676
June 10, 33
June 11, 630
June 12, 61
June 13, 1434
June 14, 215
June 15, 1801
June 16, 2341
June 17, 3285
June 18, 2997
June 19, 390
June 20, 543
June 21, 103
June 22, 1722
June 23, 216
June 24, 574
June 25, 1424
June 26, 55
June 27, 372
June 28, 409
June 29, 2416
June 30, 2079
