April 1, 1087
April 2, 1356
April 3, 1957
April 4, 1041
April 5, 2235
April 6, 1859
April 7, 1241
April 8, 1456
April 9, 3741
April 10, 6966
April 11, 1272
April 12, 2433
April 13, 4685
April 14, 1783
April 15, 3896
April 16, 8147
April 17, 2140
April 18, 6860
April 19, 3547
April 20, 1289
April 21, 1020
April 22, 1144
April 23, 1970
April 24, 1183
April 25, 4077
April 26, 1180
April 27, 1943
April 28, 4234
April 29, 1539
April 30, 1218
May 1, 397
May 2, 3573
May 3, 2448
May 4, 888
May 5, 613
May 6, 443
May 7, 5588
May 8, 4403
May 9, 502
May 10, 6524
May 11, 1588
May 12, 1219
May 13, 5540
May 14, 730
May 15, 425
May 16, 5725
May 17, 1631
May 18, 706
May 19, 1421
May 20, 286
May 21, 1564
May 22, 350
May 23, 3781
May 24, 7522
May 25, 412
May 26, 3449
May 27, 370
May 28, 4628
May 29, 1150
May 30, 6518
May 31, 5551
June 1, 2864
June 2, 198
June 3, 578
June 4, 114
June 5, 856
June 6, 1377
June 7, 364
June 8, 84
June 9, 1999
June 10, 398
June 11, 1268
June 12, 2800
June 13, 2095
June 14, 31
June 15, 631
June 16, 288
June 17, 1336
June 18, 2977
June 19, 569
June 20, 1636
June 21, 3344
June 22, 414
June 23, 411
June 24, 2929
June 25, 2521
June 26, 193
June 27, 425
June 28, 1322
June 29, 2337
June 30, 109
