April 1, 1223
April 2, 1291
April 3, 2526
April 4, 1633
April 5, 2090
April 6, 5160
April 7, 3402
April 8, 2135
April 9, 3064
April 10, 3157
April 11, 3021
April 12, 2301
April 13, 1439
April 14, 1279
April 15, 7778
April 16, 2532
April 17, 1711
April 18, 1725
April 19, 1020
April 20, 9437
April 21, 1089
April 22, 1732
April 23, 2870
April 24, 1124
April 25, 1496
April 26, 8430
April 27, 1098
April 28, 2408
April 29, 6449
April 30, 1476
May 1, 1309
May 2, 367
May 3, 504
May 4, 4498
May 5, 5734
May 6, 2896
May 7, 4166
May 8, 1534
May 9, 3923
May 10, 5202
May 11, 1110
May 12, 496
May 13, 4482
May 14, 134
May 15, 3177
May 16, 2247
May 17, 2722
May 18, 3038
May 19, 1224
May 20, 683
May 21, 4359
May 22, 222
May 23, 171
May 24, 6770
May 25, 416
May 26, 303
May 27, 4545
May 28, 580
May 29, 553
May 30, 4633
May 31, 3141
June 1, 178
June 2, 2013
June 3, 283
June 4, 1135
June 5, 360
June 6, 182
June 7, 20
June 8, 471
June 9, 638
June 10, 614
June 11, 2147
June 12, 2032
June 13, 640
June 14, 227
June 15, 226
June 16, 129
June 17, 2974
June 18, 1760
June 19, 1571
June 20, 1359
June 21, 3074
June 22, 2843
June 23, 539
June 24, 719
June 25, 1001
June 26, 583
June 27, 486
June 28, 1205
June 29, 2895
June 30, 213
