April 1, 5962
April 2, 3026
April 3, 1825
April 4, 1690
April 5, 5999
April 6, 7334
April 7, 2829
April 8, 1208
April 9, 7235
April 10, 6053
April 11, 1395
April 12, 1695
April 13, 4133
April 14, 2516
April 15, 7792
April 16, 4173
April 17, 2660
April 18, 4780
April 19, 4018
April 20, 1265
April 21, 4550
April 22, 1241
April 23, 4016
April 24, 5555
April 25, 8700
April 26, 1138
April 27, 3139
April 28, 3076
April 29, 1483
April 30, 2806
May 1, 492
May 2, 196
May 3, 4491
May 4, 3111
May 5, 1085
May 6, 4100
May 7, 159
May 8, 894
May 9, 3139
May 10, 959
May 11, 7213
May 12, 1304
May 13, 3033
May 14, 2401
May 15, 386
May 16, 1481
May 17, 3898
May 18, 3325
May 19, 5074
May 20, 4084
May 21, 373
May 22, 299
May 23, 1392
May 24, 3861
May 25, 4324
May 26, 3214
May 27, 4483
May 28, 750
May 29, 607
May 30, 4183
May 31, 3860
June 1, 661
June 2, 1963
June 3, 619
June 4, 313
June 5, 723
June 6, 250
June 7, 380
June 8, 2742
June 9, 2395
June 10, 1612
June 11, 1079
June 12, 2584
June 13, 1023
June 14, 1335
June 15, 169
June 16, 748
June 17, 123
June 18, 133
June 19, 1406
June 20, 800
June 21, 1468
June 22, 1224
June 23, 26
June 24, 1451
June 25, 2796
June 26, 14
June 27, 62
June 28, 57
June 29, 1380
June 30, 438
