April 1, 1860
April 2, 2085
April 3, 2477
April 4, 5610
April 5, 5449
April 6, 1046
April 7, 3462
April 8, 4446
April 9, 1818
April 10, 5240
April 11, 3141
April 12, 4259
April 13, 1013
April 14, 6638
April 15, 3175
April 16, 2995
April 17, 1477
April 18, 1254
April 19, 3519
April 20, 1150
April 21, 1202
April 22, 1680
April 23, 4580
April 24, 1712
April 25, 3046
April 26, 2549
April 27, 8945
April 28, 2681
April 29, 1563
April 30, 7579
May 1, 961
May 2, 151
May 3, 906
May 4, 4152
May 5, 1952
May 6, 2112
May 7, 810
May 8, 7211
May 9, 2342
May 10, 724
May 11, 2532
May 12, 822
May 13, 2665
May 14, 2069
May 15, 836
May 16, 4071
May 17, 327
May 18, 1407
May 19, 3059
May 20, 2704
May 21, 8383
May 22, 1514
May 23, 4088
May 24, 6605
May 25, 2032
May 26, 3350
May 27, 676
May 28, 5982
May 29, 411
May 30, 2555
May 31, 281
June 1, 708
June 2, 1428
June 3, 885
June 4, 734
June 5, 265
June 6, 869
June 7, 1599
June 8, 127
June 9, 240
June 10, 1810
June 11, 1959
June 12, 509
June 13, 1963
June 14, 59
June 15, 277
June 16, 391
June 17, 1350
June 18, 54
June 19, 365
June 20, 295
June 21, 1988
June 22, 569
June 23, 316
June 24, 29
June 25, 1992
June 26, 24
June 27, 1466
June 28, 2677
June 29, 2151
June 30, 391
