April 1, 1298
April 2, 4104
April 3, 1393
April 4, 1807
April 5, 1006
April 6, 1419
April 7, 3851
April 8, 4668
April 9, 1196
April 10, 4810
April 11, 2108
April 12, 1730
April 13, 5554
April 14, 1493
April 15, 2561
April 16, 4579
April 17, 2343
April 18, 5095
April 19, 3427
April 20, 3279
April 21, 2042
April 22, 7541
April 23, 1044
April 24, 7925
April 25, 2158
April 26, 1652
April 27, 1456
April 28, 2829
April 29, 6515
April 30, 1829
May 1, 1844
May 2, 1180
May 3, 5129
May 4, 1080
May 5, 238
May 6, 6342
May 7, 389
May 8, 1820
May 9, 547
May 10, 226
May 11, 1502
May 12, 1999
May 13, 926
May 14, 4494
May 15, 6106
May 16, 7460
May 17, 460
May 18, 1431
May 19, 718
May 20, 5106
May 21, 4669
May 22, 3288
May 23, 259
May 24, 2261
May 25, 4342
May 26, 2598
May 27, 198
May 28, 2323
May 29, 1183
May 30, 6342
May 31, 3025
June 1, 369
June 2, 132
June 3, 470
June 4, 1912
June 5, 1605
June 6, 255
June 7, 1450
June 8, 473
June 9, 2759
June 10, 440
June 11, 566
June 12, 295
June 13, 1868
June 14, 1929
June 15, 1028
June 16, 1487
June 17, 672
June 18, 2008
June 19, 188
June 20, 515
June 21, 400
June 22, 9
June 23, 1775
June 24, 405
June 25, 129
June 26, 378
June 27, 1347
June 28, 773
June 29, 857
June 30, 2207
